RecordType,Field1,Field2,Field3,Field4,Field5,PartNumber,Quantity,Field8,Date,Price,Field11,Field12,VendorName
8888RTV,0,5770345,4,4209,1,ADC-AC-ET25,1,782,20251224,244.73,11315718,220865,ALARM.COM INC
8888RTV,0,5282114,282,37387,5,6150ADT,6,501,20251222,35.62,11275595,256963,ADEMCO INC
8888RTV,0,5282114,253,37382,1,5816WMBR,165,503,20251222,9.97,11275511,256963,ADEMCO INC
8888RTV,0,5773456,404,4331,2,ANV-L7082R,5,674,20251222,85.15,11315734,8996,ADI
8888RTV,0,5770345,24,3924,2,ADC-AC-CARD-50H4-SO12,820,20251222,56.5,11280226,220865,ALARM.COM,INC
8888RTV,0,5773456,69,4318,1,0E-22LED3,3,826,20251222,112.89,11315328,8996,ADI
8888RTV,0,5282114,323,37387,8,7939WG-WH,50,501,20251222,4.19,11275595,256963,ADEMCO INC
8888RTV,0,5773456,91,4312,1,ANO-L7012R,9,588,20251223,57.64,11315258,8996,ADI
8888RTV,0,5773456,392,3309,2,CB130T,2,813,20251219,8.68,11280233,8996,ADI
8888RTV,0,5773456,43,4166,1,XRN-820S-4TB,1,821,20251219,572.87,11309600,8996,ADI
8888RTV,0,5773456,392,1414,2,CB130T,5,274,20251219,8.68,11215023,8996,ADI
8888RTV,0,5770345,19,4175,1,ADC-VDB750-TH,1,821,20251219,99,11309842,220865,ALARM.COM INC
8888RTV,0,5770345,10,4122,2,ADC-AC-X1100,1,693,20251219,330,11304002,220865,ALARM.COM INC
8888RTV,0,5770426,33,1441,1,B-ACS300-E-B,1,573,20251222,480.11,11313446,191253,BRIVO SYSTEMS LLC
8888RTV,0,5770426,33,1439,1,B-ACS300-E-B,1,782,20251219,480.11,11313257,191253,BRIVO SYSTEMS LLC
8888RTV,0,5770426,7,1452,2,B-ACS6100-DB,1,850,20251222,205.91,11315516,191253,BRIVO SYSTEMS LLC
8888RTV,0,5770342,8,1344,2,PS-2420UL,1,357,20251222,93.5,11315912,8620,AIPHONE CORPORATION
8888RTV,0,5770342,12,1337,1,JVS-1V,1,677,20251223,406.3,11311322,8620,AIPHONE CORPORATION
8888RTV,0,5770342,69,1344,6,JPS-4AED,1,357,20251222,1309,11315912,8620,AIPHONE CORPORATION
8888RTV,0,5770410,29,909,1,GA01892-US,1680,503,20251222,68.6,11263162,269855,GOOGLE LLC
8888RTV,0,5773456,113,4391,1,0-000-701-01,5,832,20251224,29.27,11317487,8996,ADI
8888RTV,0,5615672,72,1128,1,PTC1620U,1,748,20251224,7.51,11320719,29905,TYCO SAFETY PRODUCTS CANADA LTD
8888RTV,0,5770345,90,4129,4,ADC-AC-AERO-PWP2M-A,1,826,20251219,400,11304661,220865,ALARM.COM INC
8888RTV,0,5282114,254,37386,1,5816WMWH,3944,501,20251219,9.97,11275586,256963,ADEMCO INC
8888RTV,0,5773456,81,4183,1,XRN-820S-2TB,1,659,20251219,498.43,11310932,8996,ADI
8888RTV,0,5282114,186,37382,32,300-10186,1472,503,20251222,11.33,11275511,256963,ADEMCO INC
8888RTV,0,5282114,334,37381,4,958,161,503,20251222,14.68,11275497,256963,ADEMCO INC
8888RTV,0,5770345,54,4066,6,ADC-VC727P,80,501,20251222,131.49,11297865,220865,ALARM.COM INC
8888RTV,0,5770410,24,921,1,GA09963-US,240,503,20251222,83.3,11280928,269855,GOOGLE LLC
8888RTV,0,5770345,90,4137,3,ADC-AC-AERO-PWP2M-A,1,469,20251222,400,11306368,220865,ALARM.COM INC
8888RTV,0,5770345,6,4125,1,ADC-AC-LP1502-PSE,1,53,20251222,901,11304208,220865,ALARM.COM INC
8888RTV,0,5615672,79,1125,4,SCW-BATTERYHC,510,501,20251223,28.41,11309647,29905,TYCO SAFETY PRODUCTS CANADA LTD
8888RTV,0,5773456,249,4293,1,TREX-XL2,2,469,20251223,102.21,11314151,8996,ADI
8888RTV,0,5773456,91,4436,2,ANO-L7012R,5,377,20251224,57.64,11319910,8996,ADI
8888RTV,0,5773456,257,4447,1,DS-7604NI-Q1/4P-2TB,1,826,20251224,186.75,11319977,8996,ADI
8888RTV,0,5282114,90,37382,26,SIXCTA,20091,503,20251222,9.97,11275511,256963,ADEMCO INC
8888RTV,0,5773456,279,4241,3,ANV-L7012R,18,816,20251222,57.64,11313148,8996,ADI
8888RTV,0,5773456,249,4289,1,TREX-XL2,1,316,20251222,102.21,11314030,8996,ADI
8888RTV,0,5770345,90,4140,3,ADC-AC-AERO-PWP2M-A,1,469,20251222,400,11306386,220865,ALARM.COM INC
8888RTV,0,5770345,53,4055,3,ADC-VACC-MNT130,10,501,20251222,17.14,11295772,220865,ALARM.COM INC
8888RTV,0,5770457,37,1250,3,20NKS-02-000000,2,718,20251222,156.85,11306604,7092,HID GLOBAL
8888RTV,0,5770345,23,4180,2,ADC-AC-FOB-60H8-SO1,1,819,20251223,81.25,11311043,220865,ALARM.COM INC
8888RTV,0,5770414,17,543,1,2GIG-PANIC1E-345,1,272,20251223,23.65,11313344,32657,NICE NORTH AMERICA
8888RTV,0,5770345,4,4197,1,ADC-AC-ET25,1,835,20251224,244.73,11313311,220865,ALARM.COM INC
8888RTV,0,5770457,37,1229,1,20NKS-02-000000,2,379,20251219,156.85,11301779,7092,HID GLOBAL
8888RTV,0,5770426,33,1437,1,B-ACS300-E-B,1,837,20251219,480.11,11313199,191253,BRIVO SYSTEMS LLC
8888RTV,0,5773456,43,4261,1,XRN-820S-4TB,1,688,20251222,572.87,11313305,8996,ADI
8888RTV,0,5773456,72,4330,1,DS-2CD2123G2-IU,4MM,3,888,20251222,114.92,11315705,8996            ADI
8888RTV,0,5282114,87,37382,6,SF3000PCB,181,503,20251222,39.41,11275511,256963,ADEMCO INC
8888RTV,0,5282114,322,37387,7,7939WG-BR,30,501,20251222,4.19,11275595,256963,ADEMCO INC
8888RTV,0,5282114,95,37382,27,SIXGBA,2427,503,20251222,36.26,11275511,256963,ADEMCO INC
8888RTV,0,5282114,264,37382,18,5834-4ADT,180,503,20251222,12.46,11275511,256963,ADEMCO INC
8888RTV,0,5282114,322,37382,12,7939WG-BR,10,503,20251222,4.19,11275511,256963,ADEMCO INC
8888RTV,0,5770345,90,4169,2,ADC-AC-AERO-PWP2M-A,1,688,20251222,400,11309412,220865,ALARM.COM INC
8888RTV,0,5770345,2,4160,1,ADC-AC-ET10,1,867,20251222,143.15,11308801,220865,ALARM.COM INC
8888RTV,0,5773456,43,4242,1,XRN-820S-4TB,1,631,20251222,572.87,11313147,8996,ADI
8888RTV,0,5773456,43,4138,1,XRN-820S-4TB,1,813,20251222,572.87,11308975,8996,ADI
8888RTV,0,5773456,392,4037,2,CB130T,6,342,20251224,8.68,11304810,8996,ADI
8888RTV,0,5770462,2,2740,1,493494,5000,693,20251219,0.1300625,11307068,6332,PAIGE ELECTRIC CO LP
8888RTV,0,5770345,87,4163,9,ADC-SEM300-ADT-VT-AT18,503,20251219,105,11308846,220865,ALARM.COM,INC
8888RTV,0,5770342,63,1331,1,JP-4HD,1,815,20251219,807.5,11307194,8620,AIPHONE CORPORATION
8888RTV,0,5773456,103,4191,2,SBP-125WMW1,2,267,20251219,29.25,11310919,8996,ADI
8888RTV,0,5752082,226,4827,1,WG-50781101,20,836,20251222,109.74,11315340,8996,ADI
8888RTV,0,5282114,99,37382,34,SIXSIREN-ODA,282,503,20251222,67.98,11275511,256963,ADEMCO INC
8888RTV,0,5773456,393,4290,2,ARN-810S-2TB,1,713,20251222,277.95,11314031,8996,ADI
8888RTV,0,5282114,244,37382,19,5802WXT-2,17,503,20251222,26.76,11275511,256963,ADEMCO INC
8888RTV,0,5773456,279,3807,2,ANV-L7012R,3,180,20251222,57.64,11296646,8996,ADI
8888RTV,0,5770345,10,4187,2,ADC-AC-X1100,1,836,20251222,330,11311489,220865,ALARM.COM INC
8888RTV,0,5773456,279,4193,2,ANV-L7012R,55,815,20251223,57.64,11310928,8996,ADI
8888RTV,0,5773456,279,4263,3,ANV-L7012R,6,342,20251224,57.64,11313354,8996,ADI
8888RTV,0,5773456,176,4173,2,XRN-420S-2TB,2,357,20251219,293.72,11309763,8996,ADI
8888RTV,0,5752082,37,4819,1,WG-21145801,14,834,20251219,48.95,11309295,8996,ADI
8888RTV,0,5773456,224,3921,3,QNE-C9013RL,7,827,20251219,245.63,11300378,8996,ADI
8888RTV,0,5282114,161,37387,20,FG1625,17,501,20251222,24.02,11275595,256963,ADEMCO INC
8888RTV,0,5282114,454,37387,41,SIXCOMBOVA,1364,501,20251222,89.51,11275595,256963,ADEMCO INC
8888RTV,0,5770345,65,3729,4,ADC-CSVR2108P-1X3TB,108,501,20251222,359,11256196,220865,ALARM.COM INC
8888RTV,0,5773456,157,3807,1,XRN-420S-4TB,1,180,20251222,405.38,11296646,8996,ADI
8888RTV,0,5770345,10,4139,1,ADC-AC-X1100,1,469,20251222,330,11306384,220865,ALARM.COM INC
8888RTV,0,5396030,41,1,SSSX5R0-29-WH,500000,503,20251222  0,222178,SERCOMM CORP,,,
8888RTV,0,5773456,7,4224,2,ARN-410S-2TB,4,800,20251222,248.91,11311749,8996,ADI
8888RTV,0,5770345,90,4121,4,ADC-AC-AERO-PWP2M-A,1,469,20251222,400,11303015,220865,ALARM.COM INC
8888RTV,0,5770426,33,1456,1,B-ACS300-E-B,1,817,20251223,480.11,11315852,191253,BRIVO SYSTEMS LLC
8888RTV,0,5282114,474,37387,44,SIXCOVA,138,501,20251223,40.79,11275595,256963,ADEMCO INC
8888RTV,0,5773456,426,4352,2,SBV-A14B,2,888,20251223,21.02,11317134,8996,ADI
8888RTV,0,5770462,23,2758,1,710548EWTA,15000,831,20251223,0.139926786,11311477,6332,PAIGE ELECTRIC CO LP
8888RTV,0,5773456,177,4243,1,ECR2450BP,29,185,20251223,2.06,11313152,8996,ADI
8888RTV,0,5773456,404,4368,4,ANV-L7082R,2,752,20251224,85.15,11317336,8996,ADI
8888RTV,0,5272817,56,23808,1,HDT228,1,693,20251224,36.95,11320638,101933,MATRIX NETWORK INC
8888RTV,0,5773034,4,193,1,YRD410ZW3-619,3840,503,20251222,89.35,11292808,266418,MASTER LOCK COMPANY LLC
8888RTV,0,5770415,3,641,1,QR0119-840,12,827,20251223,22.71,11316237,256872,"QOLSYS, INC"
8888RTV,0,5773456,416,4282,4,ANE-L7012L,16,685,20251219,88.43,11313833,8996,ADI
8888RTV,0,5770462,23,2752,1,710548EWTA,2000,676,20251219,0.139926786,11310881,6332,PAIGE ELECTRIC CO LP
8888RTV,0,5770345,2,4188,1,ADC-AC-ET10,1,837,20251222,143.15,11311494,220865,ALARM.COM INC
8888RTV,0,5282114,121,37382,10,VISTA-20P,151,503,20251222,41.92,11275511,256963,ADEMCO INC
8888RTV,0,5770345,24,4137,2,ADC-AC-CARD-50H4-SO11,469,20251222,56.5,11306368,220865,ALARM.COM,INC
8888RTV,0,5773456,91,4230,3,ANO-L7012R,5,827,20251223,57.64,11312132,8996,ADI
8888RTV,0,5770345,15,4223,1,ADC-V724X,1,316,20251223,104.26,11318098,220865,ALARM.COM INC
8888RTV,0,5773456,224,4290,3,QNE-C9013RL,5,713,20251222,245.63,11314031,8996,ADI
8888RTV,0,5282114,23,37387,28,DESKMT-AIO,140,501,20251222,16.98,11275595,256963,ADEMCO INC
8888RTV,0,5773985,3,1,VRISTLASTV1,5000,503,20251223,0.133,11291036,265764,THE,PRINTING FULFILLMENT AND MAILING GRO
8888RTV,0,5770345,90,4133,6,ADC-AC-AERO-PWP2M-A,1,459,20251219,400,11306073,220865,ALARM.COM INC
8888RTV,0,5773456,91,4252,1,ANO-L7012R,10,621,20251223,57.64,11313158,8996,ADI
8888RTV,0,5752082,37,4825,2,WG-21145801,10,342,20251224,48.95,11313933,8996,ADI
8888RTV,0,5770345,10,4168,2,ADC-AC-X1100,1,837,20251222,330,11309259,220865,ALARM.COM INC
8888RTV,0,5770345,66,3729,1,ADC-CSVR2108P-1X6TB,18,501,20251222,449,11256196,220865,ALARM.COM INC
8888RTV,0,5773456,81,4268,1,XRN-820S-2TB,4,748,20251222,498.43,11313403,8996,ADI
8888RTV,0,5770345,58,4055,1,ADC-VC847PF,10,501,20251222,144.26,11295772,220865,ALARM.COM INC
8888RTV,0,5773456,59,4227,2,QND-7012R,4,531,20251223,129.53,11311968,8996,ADI
8888RTV,0,5773456,43,4415,1,XRN-820S-4TB,1,836,20251223,572.87,11318095,8996,ADI
8888RTV,0,5770345,70,4128,5,ADC-VC729P,10,501,20251223,189,11304474,220865,ALARM.COM INC
8888RTV,0,5773456,392,3751,1,CB130T,3,838,20251223,8.68,11295038,8996,ADI
8888RTV,0,5773456,426,4267,5,SBV-A14B,3,815,20251223,21.02,11313379,8996,ADI
8888RTV,0,5773456,190,4368,3,ANO-L7082R,4,752,20251224,85.15,11317336,8996,ADI
8888RTV,0,5773456,91,4179,2,ANO-L7012R,2,459,20251219,57.64,11310817,8996,ADI
8888RTV,0,5770345,90,4148,3,ADC-AC-AERO-PWP2M-A,1,693,20251219,400,11307068,220865,ALARM.COM INC
8888RTV,0,5770345,10,4120,1,ADC-AC-X1100,1,816,20251219,330,11302982,220865,ALARM.COM INC
8888RTV,0,5282114,483,37380,56,ADTCONVERT-2,1020,503,20251222,41.2,11275477,256963,ADEMCO INC
8888RTV,0,5770345,70,4066,7,ADC-VC729P,25,501,20251222,189,11297865,220865,ALARM.COM INC
8888RTV,0,5770345,10,4129,2,ADC-AC-X1100,1,826,20251222,330,11304661,220865,ALARM.COM INC
8888RTV,0,5773456,426,4353,2,SBV-A14B,8,682,20251223,21.02,11317195,8996,ADI
8888RTV,0,5282114,334,37385,3,958,148,501,20251223,14.68,11275565,256963,ADEMCO INC
8888RTV,0,5770462,13,2766,1,454652AWHA,2000,262,20251223,0.194196875,11313489,6332,PAIGE ELECTRIC CO LP
8888RTV,0,5773456,229,4211,2,QNV-C8011R,3,342,20251224,179.8,11311342,8996,ADI
8888RTV,0,5770345,24,3998,3,ADC-AC-CARD-50H4-SO11,777,20251224,56.5,11288524,220865,ALARM.COM,INC
8888RTV,0,5770348,8,96,1,98935-001,46,503,20251219,83,11280129,198147,KWIKSET CORPORATION
8888RTV,0,5770426,33,1435,1,B-ACS300-E-B,1,529,20251219,480.11,11313038,191253,BRIVO SYSTEMS LLC
8888RTV,0,5770426,33,1450,1,B-ACS300-E-B,1,683,20251222,480.11,11315359,191253,BRIVO SYSTEMS LLC
8888RTV,0,5770457,37,1253,1,20NKS-02-000000,2,816,20251219,156.85,11308872,7092,HID GLOBAL
8888RTV,0,5770410,26,903,1,GA09973-US,320,501,20251222,72.52,11263150,269855,GOOGLE LLC
8888RTV,0,5770410,25,907,1,GA10919-US,2880,501,20251222,83.3,11263148,269855,GOOGLE LLC
8888RTV,0,5615672,56,1125,12,PG9935,384,501,20251223,41.76,11309647,29905,TYCO SAFETY PRODUCTS CANADA LTD
8888RTV,0,5773456,331,4296,1,1E-HDMI6,4,838,20251223,2.76,11315113,8996,ADI
8888RTV,0,5615672,79,1119,2,SCW-BATTERYHC,10,501,20251223,28.41,11297866,29905,TYCO SAFETY PRODUCTS CANADA LTD
8888RTV,0,5770409,14,334,1,28172,48,503,20251222,20.36,11309386,195769,JASCO PRODUCTS COMPANY LLC
8888RTV,0,5773034,5,190,2,YRD410ZW3-BSP,576,503,20251222,89.35,11280116,266418,MASTER LOCK COMPANY LLC
8888RTV,0,5770408,41,44,1,ISC-BDL2-WP12G,144,501,20251223,32.35,11292660,147203,BOSCH SECURITY SYSTEMS LLC
8888RTV,0,5773456,361,4033,1,SSX-52SB,1,616,20251219,92.39,11304628,8996,ADI
8888RTV,0,5773456,224,4176,2,QNE-C9013RL,3,343,20251219,245.63,11310738,8996,ADI
8888RTV,0,5773456,279,4144,1,ANV-L7012R,5,946,20251219,57.64,11309092,8996,ADI
8888RTV,0,5282114,373,37382,44,SIXHEATVA,118,503,20251222,33.99,11275511,256963,ADEMCO INC
8888RTV,0,5774069,1,1,GS110TP-300NAS,1,782,20251222,0,11315284,157079,CDW,DIRECT LLC
8888RTV,0,5773456,176,4101,1,XRN-420S-2TB,1,274,20251222,293.72,11306920,8996,ADI
8888RTV,0,5770345,10,4121,2,ADC-AC-X1100,1,469,20251222,330,11303015,220865,ALARM.COM INC
8888RTV,0,5773456,162,4240,1,XRN-1620SB1-4TB,1,800,20251222,790.61,11313143,8996,ADI
8888RTV,0,5770410,14,905,1,GA02411-US,360,501,20251222,176.4,11263156,269855,GOOGLE LLC
8888RTV,0,5773456,177,4315,2,ECR2450BP,61,612,20251222,2.06,11315256,8996,ADI
8888RTV,0,5770462,13,2764,2,454652AWHA,1000,703,20251222,0.194196875,11313384,6332,PAIGE ELECTRIC CO LP
8888RTV,0,5773456,229,4229,2,QNV-C8011R,6,827,20251223,179.8,11312122,8996,ADI
8888RTV,0,5773456,335,4295,1,PROXTG-BK,1,816,20251223,4.26,11314395,8996,ADI
8888RTV,0,5770462,28,2766,2,71536100BL,1,262,20251223,53.33470833,11313489,6332,PAIGE ELECTRIC CO LP
8888RTV,0,5770345,2,4191,2,ADC-AC-ET10,1,826,20251223,143.15,11311709,220865,ALARM.COM INC
8888RTV,0,5773456,91,4301,2,ANO-L7012R,4,884,20251224,57.64,11315128,8996,ADI
8888RTV,0,5773456,392,3465,1,CB130T,6,267,20251224,8.68,11283851,8996,ADI
8888RTV,0,5773456,169,4131,1,HCO-7010RA,3,678,20251224,65.5,11308804,8996,ADI
8888RTV,0,5770345,19,4107,1,ADC-VDB750-TH,1,821,20251219,99,11300994,220865,ALARM.COM INC
8888RTV,0,5773456,418,4265,2,SBP-137WMW1,4,342,20251219,27.89,11313373,8996,ADI
8888RTV,0,5770345,90,4160,4,ADC-AC-AERO-PWP2M-A,1,867,20251219,400,11308801,220865,ALARM.COM INC
8888RTV,0,5773456,393,4231,3,ARN-810S-2TB,1,207,20251219,277.95,11312977,8996,ADI
8888RTV,0,5770345,24,4156,2,ADC-AC-CARD-50H4-SO11,829,20251219,56.5,11308742,220865,ALARM.COM,INC
8888RTV,0,5770345,6,4141,1,ADC-AC-LP1502-PSE,3,827,20251219,901,11306480,220865,ALARM.COM INC
8888RTV,0,5770462,28,2764,3,71536100BL,1,703,20251222,53.33470833,11313384,6332,PAIGE ELECTRIC CO LP
8888RTV,0,5773456,176,4246,1,XRN-420S-2TB,2,850,20251222,293.72,11313154,8996,ADI
8888RTV,0,5282114,91,37382,36,SIXCTA-BR,725,503,20251222,9.97,11275511,256963,ADEMCO INC
8888RTV,0,5282114,93,37382,33,SIXFLOODA,424,503,20251222,40.79,11275511,256963,ADEMCO INC
8888RTV,0,5282114,210,37382,23,472540D,75,503,20251222,64.73,11275511,256963,ADEMCO INC
8888RTV,0,5770345,52,4066,4,ADC-VACC-MNT110,288,501,20251222,15.05,11297865,220865,ALARM.COM INC
8888RTV,0,5770345,52,4127,1,ADC-VACC-MNT110,21,503,20251222,15.05,11304473,220865,ALARM.COM INC
8888RTV,0,5282114,334,37380,4,958,161,503,20251222,14.68,11275477,256963,ADEMCO INC
8888RTV,0,5770342,12,1340,2,JVS-1V,1,612,20251222,406.3,11311853,8620,AIPHONE CORPORATION
8888RTV,0,5770345,10,4186,2,ADC-AC-X1100,1,459,20251223,330,11311398,220865,ALARM.COM INC
8888RTV,0,5770462,1,2782,2,487343,10000,357,20251223,0.082628571,11315939,6332,PAIGE ELECTRIC CO LP
8888RTV,0,5770345,24,4191,3,ADC-AC-CARD-50H4-SO11,826,20251223,56.5,11311709,220865,ALARM.COM,INC
8888RTV,0,5770345,2,4173,2,ADC-AC-ET10,2,650,20251223,143.15,11309573,220865,ALARM.COM INC
8888RTV,0,5773456,394,4469,2,ANO-L7022R,2,621,20251224,57.64,11320743,8996,ADI
8888RTV,0,5773456,279,4373,2,ANV-L7012R,7,686,20251224,57.64,11317392,8996,ADI
8888RTV,0,5773456,196,4199,1,CB110,6,267,20251224,8.68,11310954,8996,ADI
8888RTV,0,5770345,19,4110,1,ADC-VDB750-TH,15,603,20251219,99,11301836,220865,ALARM.COM INC
8888RTV,0,5773456,91,4325,1,ANO-L7012R,2,682,20251222,57.64,11315573,8996,ADI
8888RTV,0,5774051,1,1,24BA450-B,1,836,20251222,0,11309310,157079,CDW,DIRECT LLC
8888RTV,0,5770457,21,1250,1,3250PNNMN,200,718,20251222,4.02,11306604,7092,HID GLOBAL
8888RTV,0,5773456,279,4250,1,ANV-L7012R,5,812,20251223,57.64,11313151,8996,ADI
8888RTV,0,5773456,7,4361,2,ARN-410S-2TB,1,888,20251223,248.91,11317278,8996,ADI
8888RTV,0,5773456,415,4238,1,XRN-1620SB1-8TB,1,677,20251219,947.82,11313089,8996,ADI
8888RTV,0,5770426,5,1448,1,B-ACS6000-MBE,2,723,20251219,886.83,11315116,191253,BRIVO SYSTEMS LLC
8888RTV,0,5770462,2,2713,1,493494,5000,324,20251219,0.1300625,11300446,6332,PAIGE ELECTRIC CO LP
8888RTV,0,5773456,404,4174,2,ANV-L7082R,8,817,20251219,85.15,11309859,8996,ADI
8888RTV,0,5773456,157,4176,1,XRN-420S-4TB,1,343,20251219,405.38,11310738,8996,ADI
8888RTV,0,5770345,24,4134,1,ADC-AC-CARD-50H4-SO11,817,20251222,56.5,11306166,220865,ALARM.COM,INC
8888RTV,0,5770409,32,339,1,76724,48,501,20251222,19.27,11313139,195769,JASCO PRODUCTS COMPANY LLC
8888RTV,0,5282114,375,37385,40,SIXRPTRA,288,501,20251222,73.65,11275565,256963,ADEMCO INC
8888RTV,0,5773456,423,4066,1,WD22PURZ,1,676,20251222,68.51,11306286,8996,ADI
8888RTV,0,5282114,270,37381,3,472434,216,503,20251223,41.86,11275497,256963,ADEMCO INC
8888RTV,0,5773456,176,4409,1,XRN-420S-2TB,1,469,20251223,293.72,11317801,8996,ADI
8888RTV,0,5773456,157,4227,1,XRN-420S-4TB,1,531,20251223,405.38,11311968,8996,ADI
8888RTV,0,5773456,176,4140,1,XRN-420S-2TB,1,379,20251223,293.72,11308981,8996,ADI
8888RTV,0,5773456,394,4345,3,ANO-L7022R,2,621,20251223,57.64,11316068,8996,ADI
8888RTV,0,5773456,130,4354,1,ANE-L7012R,2,692,20251224,88.43,11317219,8996,ADI
8888RTV,0,5773456,153,4390,1,TC-TR6,1,782,20251224,43.29,11317474,8996,ADI
8888RTV,0,5773456,404,4467,2,ANV-L7082R,6,826,20251224,85.15,11320646,8996,ADI
8888RTV,0,5770345,10,4077,2,ADC-AC-X1100,1,693,20251219,330,11298831,220865,ALARM.COM INC
8888RTV,0,5773456,81,4173,1,XRN-820S-2TB,3,357,20251219,498.43,11309763,8996,ADI
8888RTV,0,5770457,22,1218,1,3350PMSMV,100,815,20251219,2.06,11296439,7092,HID GLOBAL
8888RTV,0,5770345,74,4133,4,ADC-AC-X100,1,459,20251219,269,11306073,220865,ALARM.COM INC
8888RTV,0,5773456,279,4334,2,ANV-L7012R,4,888,20251222,57.64,11315783,8996,ADI
8888RTV,0,5770345,10,4100,2,ADC-AC-X1100,1,827,20251222,330,11300547,220865,ALARM.COM INC
8888RTV,0,5770345,23,4169,1,ADC-AC-FOB-60H8-SO1,2,688,20251222,81.25,11309412,220865,ALARM.COM INC
8888RTV,0,5282114,462,37382,47,ADTLTE-V3,1215,503,20251222,56.65,11275511,256963,ADEMCO INC
8888RTV,0,5773456,279,4058,2,ANV-L7012R,6,233,20251222,57.64,11306167,8996,ADI
8888RTV,0,5770345,4,4187,1,ADC-AC-ET25,1,836,20251222,244.73,11311489,220865,ALARM.COM INC
8888RTV,0,5615672,106,1123,1,PGP9986,168,501,20251223,35.65,11309605,29905,TYCO SAFETY PRODUCTS CANADA LTD
8888RTV,0,5282114,483,37387,49,ADTCONVERT-2,240,501,20251223,41.2,11275595,256963,ADEMCO INC
8888RTV,0,5773456,7,4345,2,ARN-410S-2TB,1,621,20251223,248.91,11316068,8996,ADI
8888RTV,0,5773456,392,2354,2,CB130T,6,838,20251223,8.68,11246705,8996,ADI
8888RTV,0,5773456,176,4301,1,XRN-420S-2TB,2,884,20251224,293.72,11315128,8996,ADI
8888RTV,0,5615672,55,1122,5,PG9933,120,503,20251224,70.46,11309068,29905,TYCO SAFETY PRODUCTS CANADA LTD
8888RTV,0,5773456,91,4377,1,ANO-L7012R,6,884,20251224,57.64,11317404,8996,ADI
8888RTV,0,5273154,50,15382,1,82015,400,503,20251219,2.72,11308705,203219,UNIVERSAL POWER GROUP INC
8888RTV,0,5282114,476,37382,50,ADT7AIO-5,4788,503,20251222,186.95,11275511,256963,ADEMCO INC
8888RTV,0,5282114,476,37387,43,ADT7AIO-5,1428,501,20251222,186.95,11275595,256963,ADEMCO INC
8888RTV,0,5273154,33,15379,1,UB2,2090,503,20251219,1.04,11298579,203219,UNIVERSAL POWER GROUP INC
8888RTV,0,5773914,1,1,LR6XWA/C-SS,2160,503,20251219,0.3152,11271663,254346,BLACKSTONE,INDUSTRIES LLC
8888RTV,0,5752082,33,4824,1,WG-21141101,10,274,20251224,101.2,11313911,8996,ADI
8888RTV,0,5752082,37,4820,1,WG-21145801,15,693,20251219,48.95,11311760,8996,ADI
8888RTV,0,5773456,279,4173,3,ANV-L7012R,16,357,20251219,57.64,11309763,8996,ADI
